Key Facts,Australia 2006 (Persons),,Australia 2011 (Persons),,Australia 2016 (Persons),,Victoria 2006 (Persons),,Victoria 2011 (Persons),,Victoria 2016 (Persons),
Total Population,19855287,,21507719,,23401892,,4932419,,5364039,,5926624,
Australia-born,14072945,,15017844,,15614835,,3434470,,3670936,,3845493,
Overseas-born,4416034,,5294148,,6164358,,1173202,,1405334,,1680275,
Birthplace not stated,1366308,,1195727,,1622692,,324747,,277771,,400856,
