Region,Total Population,Male Population,Female Population,Median Age
Inner Metro,384875,190382,193977,34.1
Inner South East,547253,263306,283675,38.6
Eastern,949813,467676,481931,40.1
Western,1038156,520412,517777,36.5
Northern,1091310,540882,550406,36.6
Southern,1159605,575471,584184,37.7
